Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
193,Boo'd Up,Ella Mai,1496790,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli,2018-11-16,2018-11-23,0.0862,READY,0.561,256064,0.779,False,https://i.scdn.co/image/988864215c8662750d775510c473ae5c8b477374,0.0,10,0.078,-5.107,0,79,0.0531,81.965,4,0.235
194,Stir Fry,Migos,1484284,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf,2018-11-16,2018-11-23,0.00299,Culture II,0.815,190288,0.816,True,https://i.scdn.co/image/dfc7c4f6f238bdd64f37c707e82a9b91cf3a0910,0.0,2,0.159,-5.474,1,80,0.269,181.967,4,0.498
195,Simple,Florida Georgia Line,1484196,https://open.spotify.com/track/1co0puPTYvqAdUEjFOjne9,2018-11-16,2018-11-23,0.0848,Florida Georgia Line,0.375,185200,0.889,False,https://i.scdn.co/image/99efc1f6dfbd7c26e9d4a525f495cd3667491cac,0.0,3,0.136,-3.704,1,78,0.0991,199.669,4,0.881
196,Lose It,Kane Brown,1483565,https://open.spotify.com/track/5tFgCPC2Hdw4qu9b7RkWhR,2018-11-16,2018-11-23,0.00245,Experiment,0.544,178987,0.854,False,https://i.scdn.co/image/018be8683390928ac2ab693aeb06afc90ed75dcb,1.2e-06,4,0.249,-4.968,0,64,0.0289,91.966,4,0.436
197,DNA.,Kendrick Lamar,1482646,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,2018-11-16,2018-11-23,0.00454,DAMN.,0.638,185947,0.523,True,https://i.scdn.co/image/72a11ced4752d3e6b9106839b650afc696c63d5a,0.0,1,0.0842,-6.664,1,81,0.357,139.913,4,0.422
198,Say You Won't Let Go,James Arthur,1481539,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2018-11-16,2018-11-23,0.695,Back from the Edge,0.358,211467,0.557,False,https://i.scdn.co/image/c8637be962e25fe28fc53d9f6d6896b60589aeff,0.0,10,0.0902,-7.398,1,83,0.059,85.043,4,0.494
199,I'm a Mess,Bebe Rexha,1479562,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2018-11-16,2018-11-23,0.00281,Expectations,0.63,195519,0.694,False,https://i.scdn.co/image/ef24726ae44b2a0ef78cf3be0aceaf84b94f1469,0.0,11,0.0719,-6.257,0,86,0.0253,97.005,4,0.216
200,A Holly Jolly Christmas - Single Version,Burl Ives,1479358,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,2018-11-16,2018-11-23,0.616,Have A Holly Jolly Christmas,0.674,135533,0.37,False,https://i.scdn.co/image/f65186048081b5b248453f4a54b96430f27fbbfa,0.0,0,0.0781,-12.937,1,70,0.0309,140.352,4,0.862
1,"thank u, next",Ariana Grande,12871255,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018-11-23,2018-11-30,0.28,"thank u, next",0.724,207333,0.647,True,https://i.scdn.co/image/77eb7c17cafe550238f91a744a3a1929c0e9d12e,0.0,1,0.102,-5.642,1,100,0.0658,106.96,4,0.435
2,Mo Bamba,Sheck Wes,10101181,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2018-11-23,2018-11-30,0.194,MUDBOY,0.729,183907,0.625,True,https://i.scdn.co/image/296d673cfc853aede4a8c33ab4a563a8e3f2bcbf,0.00986,4,0.248,-5.266,1,93,0.0315,146.034,4,0.261
3,SICKO MODE,Travis Scott,9791023,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-23,2018-11-30,0.00513,ASTROWORLD,0.834,312820,0.73,True,https://i.scdn.co/image/1ab97df000596d224199bbf7492e2bb5d09ea297,0.0,8,0.124,-3.714,1,95,0.222,155.008,4,0.446
4,ZEZE (feat. Travis Scott & Offset),Kodak Black,9054688,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-23,2018-11-30,0.0515,ZEZE (feat. Travis Scott & Offset),0.861,228654,0.637,True,https://i.scdn.co/image/eed35ab8ea1211c208a5ebc00c04096df8ca9d37,3.35e-06,8,0.0967,-5.692,0,89,0.24,98.044,4,0.474
5,Drip Too Hard (Lil Baby & Gunna),Lil Baby,8965297,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2018-11-23,2018-11-30,0.103,Drip Harder,0.896,145543,0.671,True,https://i.scdn.co/image/8e6d739dd8da743dc9572a239b65b290866f8f6a,0.0,1,0.552,-6.977,0,85,0.289,112.502,4,0.358
6,Without Me,Halsey,7448397,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-23,2018-11-30,0.297,Without Me,0.752,201661,0.488,True,https://i.scdn.co/image/487b36ef4a9b81ecfde2a9c9ac7d15f05e23b9f9,9.11e-06,6,0.0936,-7.05,1,97,0.0705,136.041,4,0.533
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,7046931,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-23,2018-11-30,0.551,Sunflower (Spider-Man: Into the Spider-Verse),0.753,158053,0.498,False,https://i.scdn.co/image/c30bfc4adfa8924e87f3dff571d0d8c6f032fa0a,0.0,2,0.0706,-5.61,1,89,0.0504,89.95,4,0.927
8,BAD!,XXXTENTACION,6702875,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T,2018-11-23,2018-11-30,0.0643,BAD!,0.78,94246,0.492,False,https://i.scdn.co/image/764fd3696202b4bd0cba20bd21707558b9db7115,0.0313,5,0.174,-3.4,0,88,0.0671,143.983,4,0.374
9,Lucid Dreams,Juice WRLD,6067883,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-11-23,2018-11-30,0.349,Goodbye & Good Riddance,0.511,239836,0.566,True,https://i.scdn.co/image/19c24900a8d89bd80db1446ab67e403edf921c47,0.0,6,0.34,-7.23,0,84,0.2,83.903,4,0.218
10,Wake Up in the Sky,Gucci Mane,5734198,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,2018-11-23,2018-11-30,0.00381,Wake Up in the Sky,0.8,204665,0.578,True,https://i.scdn.co/image/77eb7c17cafe5502988729c9dded0b4e467961e6,0.0,4,0.359,-5.144,0,89,0.0485,143.01,4,0.367
11,Armed And Dangerous,Juice WRLD,5713370,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra,2018-11-23,2018-11-30,0.186,Armed And Dangerous,0.736,169999,0.67,True,https://i.scdn.co/image/5651fdbbc263926e0f51af4055e9aef76c582f95,0.0,10,0.114,-6.702,1,79,0.311,130.032,4,0.845
12,when the party's over,Billie Eilish,5508934,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-23,2018-11-30,0.979,when the party's over,0.498,199931,0.104,False,https://i.scdn.co/image/dac72574e36bfd450b44de0f0d8e78164f63eb4d,7.86e-05,1,0.0895,-14.08,0,93,0.0621,124.001,3,0.205
13,All I Want for Christmas Is You,Mariah Carey,5434887,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2018-11-23,2018-11-30,0.164,Merry Christmas,0.335,241107,0.625,False,https://i.scdn.co/image/46fb2752b5a9967f94c2cafd5f2903c89d6d8bf7,0.0,7,0.0708,-7.462,1,94,0.0386,150.277,4,0.346
