URL,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
https://open.spotify.com/track/3cBhxDmbmHFVjmKcVm2WBb,0.468,Merengue y Sentimiento,0.824,222133.0,0.789,False,https://i.scdn.co/image/719e7a8de1dc61bdb438669ff3f124755e380987,0.0,4.0,0.0921,-5.068,0.0,41.0,0.0416,124.016,4.0,0.772
https://open.spotify.com/track/2HFfwhwTbpGq8Ebi3Nkdwv,0.506,El Hombre Merengue,0.903,283867.0,0.802,False,https://i.scdn.co/image/dbb8c2b4041ea43c6c26dd9adac6c37565298ff1,9.85e-05,6.0,0.0568,-9.019,1.0,42.0,0.0746,130.892,4.0,0.908
https://open.spotify.com/track/1uxEip50QQU0vl1OEoNAeL,0.205,Super Exitos del Conjunto Quisqueya,0.682,229067.0,0.718,False,https://i.scdn.co/image/114ea9d53c85f4decd994affdacae040c634d431,0.164,2.0,0.278,-8.95,1.0,33.0,0.295,164.531,4.0,0.93
https://open.spotify.com/track/6MXKb9NvosK9EaVm0ofX1K,0.409,Mil Motivos (Merengue),0.828,247433.0,0.77,False,https://i.scdn.co/image/0a3f97721a6208b40004cf424b5a200b28c08988,5.27e-06,8.0,0.164,-9.144,1.0,41.0,0.101,114.977,4.0,0.941
https://open.spotify.com/track/3hyHCqpqj1TR3qhafGfrex,0.128,Merengues 100% de la República Dominicana,0.729,320360.0,0.864,False,https://i.scdn.co/image/4220738ebff81341c43ab21c8b6ef3f1f0bd15e8,0.0613,2.0,0.163,-7.651,1.0,35.0,0.0659,170.502,4.0,0.797
https://open.spotify.com/track/6knVFC1It4pssIpImaNRtF,0.413,Acusticos (Merengue),0.625,332592.0,0.698,False,https://i.scdn.co/image/bf8e986294c8a9bde0a10363c2bca27896d1135b,0.000373,6.0,0.293,-6.842,0.0,40.0,0.0645,111.872,4.0,0.828
https://open.spotify.com/track/4XtF3JmihORXCWLJjY8hMI,0.383,Solo Contigo (Merengue Urbano),0.706,165304.0,0.942,False,https://i.scdn.co/image/cacded20c4e44f555adfa006f10af654c1db027b,0.00228,2.0,0.132,-5.429,1.0,41.0,0.142,100.813,4.0,0.675
https://open.spotify.com/track/2JVXOsPlWQnKYVC4LF29HJ,0.164,Minutos (Edición de Oro),0.756,208615.0,0.842,False,https://i.scdn.co/image/c4bafa746215b783a0a65fc4a524144115b30f07,0.0,0.0,0.11,-3.278,1.0,44.0,0.188,120.067,4.0,0.778
https://open.spotify.com/track/3T5DRtuj3RlqKM70IL5Dzu,0.0705,Go Diego Go Live! The Great Jaguar Rescue,0.817,75307.0,0.777,False,https://i.scdn.co/image/ceda6efb7813b550e599d6fd03b1fcda860aefea,0.0,7.0,0.0613,-4.845,1.0,33.0,0.0535,142.006,4.0,0.969
https://open.spotify.com/track/5N8NdJ4K7GT7FCaH1gx1WC,0.448,Merengue Navideño,0.64,294338.0,0.544,False,https://i.scdn.co/image/fedd0d794e612b576f09270325ff642f3cf89a58,0.0004,7.0,0.0376,-10.216,1.0,36.0,0.0592,160.545,4.0,0.962
