,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
119,"MALA (feat. Anuel Aa)",6ix9ine,1070820,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
120,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",1067336,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
121,"Psycho (feat. Ty Dolla $ign)","Post Malone",1062061,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
122,"Beautiful (feat. Camila Cabello)",Bazzi,1046677,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
123,"Solo de Mi","Bad Bunny",1041765,https://open.spotify.com/track/5YOkA7qd2983FtBQnP8sYx
124,"I Love It (& Lil Pump)","Kanye West",1039121,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
125,Believer,"Imagine Dragons",1035751,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
126,breathin,"Ariana Grande",1035488,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
127,"Santa Baby","Ariana Grande",1034948,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb
128,"Falling Down - Bonus Track","Lil Peep",1026252,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
129,"Solo (feat. Demi Lovato)","Clean Bandit",1009826,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
130,"Armed And Dangerous","Juice WRLD",1004455,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
131,"God is a woman","Ariana Grande",998983,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
132,"Run Rudolph Run - Single Version","Chuck Berry",998862,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
133,"Look Back At It","A Boogie Wit da Hoodie",998586,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
134,idontwannabeyouanymore,"Billie Eilish",996901,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
135,Amanece,"Anuel Aa",993741,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
136,"Don't Stop Me Now - Remastered",Queen,993045,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
137,"I'll Be Home","Meghan Trainor",992089,https://open.spotify.com/track/1hy6kKvsPbv7VTcllCuATC
138,"Body (feat. brando)","Loud Luxury",989812,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
139,IDGAF,"Dua Lipa",981012,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
140,"Winter Wonderland","Tony Bennett",980203,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ
141,"TIC TOC (feat. Lil Baby)",6ix9ine,980098,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
142,"One More Sleep","Leona Lewis",967142,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
143,"Santa Claus Is Coming To Town","The Jackson 5",958084,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
144,"Woman Like Me (feat. Nicki Minaj)","Little Mix",952092,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
145,Perfect,"Ed Sheeran",948449,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
146,"Ya No Tiene Novio","Sebastian Yatra",947089,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
147,changes,XXXTENTACION,946750,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
148,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",945931,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
149,Culpables,"Karol G",945215,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
150,2002,Anne-Marie,943009,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
151,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",941794,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
152,"Santa's Coming For Us",Sia,940979,https://open.spotify.com/track/3AlpkljBS1AU7HFVPms8K6
153,Havana,"Camila Cabello",933040,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
154,"No Stylist","French Montana",930825,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
155,"Amigos Con Derechos",Reik,923377,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
156,Hallelujah,Pentatonix,914650,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
157,"Thank God It's Christmas - 2011 Remaster",Queen,913794,https://open.spotify.com/track/3AymrUApW5JKKaNrHQhcBG
158,SOLO,JENNIE,911960,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
159,Rise,"Jonas Blue",905965,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
160,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",900959,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
161,"Under Pressure - Remastered",Queen,889352,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
162,Shotgun,"George Ezra",886153,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
163,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","Nicki Minaj",884691,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth
164,"I Fall Apart","Post Malone",882053,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
165,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani",881484,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
166,Thunder,"Imagine Dragons",873937,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
167,"Somebody To Love - Remastered 2011",Queen,871080,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
168,"New Rules","Dua Lipa",866877,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
169,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,866249,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
170,"pad lock","21 Savage",863756,https://open.spotify.com/track/5stbfxsPi8gcOH2LCuA4Le
171,"good day","21 Savage",857246,https://open.spotify.com/track/2LqoYvMudv9xoTqNLFKILj
172,FRIENDS,Marshmello,856476,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
173,"Mala Mía",Maluma,854088,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
174,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",846256,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
175,4L,"21 Savage",842608,https://open.spotify.com/track/1uULQtJ8rbsX5TwjPpPc9Q
176,"The Middle",Zedd,842066,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
177,"What Christmas Means To Me","Stevie Wonder",839460,https://open.spotify.com/track/3h1EREJfCwyv6cG7CGak5d
178,"White Christmas (Duet With Shania Twain)","Michael Bublé",831849,https://open.spotify.com/track/2gbCG4Rt9984UZ7Tc0dIFd
179,"I Like Me Better",Lauv,831120,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
180,"Electricity (with Dua Lipa)","Silk City",823971,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
181,"Lucky You (feat. Joyner Lucas)",Eminem,821927,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
182,"letter 2 my momma","21 Savage",815068,https://open.spotify.com/track/55xNjVrGJxgqcEFqCyejTM
183,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",813494,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
184,"I'm a Mess","Bebe Rexha",806512,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
185,"Look Alive (feat. Drake)","BlocBoy JB",804492,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
186,"MAMA (feat. Nicki Minaj, Kanye West)",6ix9ine,803879,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
187,Lelele,Azet,798854,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX
188,"XO TOUR Llif3","Lil Uzi Vert",791747,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
189,"This Feeling","The Chainsmokers",791481,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
190,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",782534,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
191,"No Es Justo","J Balvin",779280,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
192,"Asesina - Remix",Brytiago,773878,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
193,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,772126,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
194,"Too Good At Goodbyes","Sam Smith",771300,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
195,YOSEMITE,"Travis Scott",768549,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
196,"Say My Name","David Guetta",768238,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
197,"Nice For What",Drake,767509,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
198,"Say You Won't Let Go","James Arthur",765547,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
199,"Merry Christmas, Happy Holidays",*NSYNC,760963,https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR
200,"Jackie Chan",Tiësto,759675,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
